Quellen:
Statistik Austria (www.statistik.at)
http://wahl13.bmi.gv.at/
http://wahl17.bmi.gv.at/

Wahljahr SPÖ  ÖVP  FPÖ  KPÖ Grüne LIF BZÖ  MATIN FRANK NEOS PILZ Sonstige
1945     44,6 49,8 .    5,4 .     .   .    .     .     .    .    0,2
1949     38,7 44,0 11,7 5,1 .     .   .    .     .     .    .    0,5
1953     42,1 41,3 10,9 5,3 .     .   .    .     .     .    .    0,4
1956     43,0 46,0  6,5 4,4 .     .   .    .     .     .    .    0,1
1959     44,8 44,2  7,7 3,3 .     .   .    .     .     .    .    0,1
1962     44,0 45,4  7,0 3,0 .     .   .    .     .     .    .    0,5
1966     42,6 48,3  5,4 0,4 .     .   .    .     .     .    .    3,3
1970     48,4 44,7  5,5 1,0 .     .   .    .     .     .    .    0,4
1971     50,0 43,1  5,5 1,4 .     .   .    .     .     .    .    0,0
1975     50,4 42,9  5,4 1,2 .     .   .    .     .     .    .    0,0
1979     51,0 41,9  6,0 1,0 .     .   .    .     .     .    .    0,0
1983     47,6 43,2  5,0 0,7 .     .   .    .     .     .    .    3,5
1986     43,1 41,3  9,7 0,7  4,8  .   .    .     .     .    .    0,3
1990     42,8 32,1 16,6 0,5  4,8  .   .    .     .     .    .    3,2
1994     34,9 27,7 22,5 0,3  7,3  6,0 .    .     .     .    .    1,4
1995     38,1 28,3 21,9 0,3  4,8  5,5 .    .     .     .    .    1,1
1999     33,2 26,9 26,9 0,5  7,4  3,7 .    .     .     .    .    1,5
2002     36,5 42,3 10,0 0,6  9,5  1,0 .    .     .     .    .    0,2
2006     35,3 34,3 11,0 1,0 11,1  .    4,1 2,8   .     .    .    0,3
2008     29,3 26,0 17,5 0,8 10,4  2,1 10,7 .     .     .    .    3,2
2013     26,8 24,0 20,5 1,0 12,4  .    3,5 .     5,7   5,0  .    1,1
2017     26,9 31,5 26,0 0,8  3,8  .    .   .     .     5,3  4,4  1,3
